Adjusted for Inflation Title,Adjusted for Inflation Notes,Year Date,Format Value # (Billion),Format Value # (Million),Adjusted for Inflation Flag,Total Value For Year,Value (For Charting),Format,Metric,Number of Records,Year,Value (Actual),Total Value # (Billion),Total Value # (Million),Year (copy)
,,1996,,$184.1M,,$374490.0B,184.1,CD Single,Value,1,1996,184.1,$374.5B,,1996
,,1997,,$272.7M,,$374490.0B,272.7,CD Single,Value,1,1997,272.7,$374.5B,,1997
,,1998,,$213.2M,,$374490.0B,213.2,CD Single,Value,1,1998,213.2,$374.5B,,1998
,,1999,,$222.4M,,$374490.0B,222.4,CD Single,Value,1,1999,222.4,$374.5B,,1999
,,2000,,$142.7M,,$374490.0B,142.7,CD Single,Value,1,2000,142.7,$374.5B,,2000
,,2001,,$79.4M,,$374490.0B,79.4,CD Single,Value,1,2001,79.4,$374.5B,,2001
,,2002,,$19.6M,,$374490.0B,19.6,CD Single,Value,1,2002,19.6,$374.5B,,2002
,,2003,,$36.0M,,$374490.0B,36,CD Single,Value,1,2003,36,$374.5B,,2003
,,2004,,$15.0M,,$374490.0B,15,CD Single,Value,1,2004,15,$374.5B,,2004
,,2005,,$10.9M,,$374490.0B,10.9,CD Single,Value,1,2005,10.9,$374.5B,,2005
,,2006,,$7.7M,,$374490.0B,7.7,CD Single,Value,1,2006,7.7,$374.5B,,2006
,,2007,,$12.2M,,$374490.0B,12.2,CD Single,Value,1,2007,12.2,$374.5B,,2007
,,2008,,$3.5M,,$374490.0B,3.5,CD Single,Value,1,2008,3.5,$374.5B,,2008
,,2009,,$3.1M,,$374490.0B,3.1,CD Single,Value,1,2009,3.1,$374.5B,,2009
,,2010,,$2.9M,,$374490.0B,2.9,CD Single,Value,1,2010,2.9,$374.5B,,2010
,,2011,,$3.5M,,$374490.0B,3.5,CD Single,Value,1,2011,3.5,$374.5B,,2011
,,2012,,$3.2M,,$374490.0B,3.225092945,CD Single,Value,1,2012,3.225092945,$374.5B,,2012
,,2013,,$2.4M,,$374490.0B,2.445737226,CD Single,Value,1,2013,2.445737226,$374.5B,,2013
,,2014,,$3.6M,,$374490.0B,3.616015547,CD Single,Value,1,2014,3.616015547,$374.5B,,2014
,,2015,,$1.2M,,$374490.0B,1.196946610,CD Single,Value,1,2015,1.196946610,$374.5B,,2015
,,2016,,$0.3M,,$374490.0B,0.263199082,CD Single,Value,1,2016,0.263199082,$374.5B,,2016
,,2017,,$1.5M,,$374490.0B,1.478694184,CD Single,Value,1,2017,1.478694184,$374.5B,,2017
,,2018,,$0.2M,,$374490.0B,0.155169840,CD Single,Value,1,2018,0.155169840,$374.5B,,2018
,,2019,,$0.2M,,$374490.0B,0.181678878,CD Single,Value,1,2019,0.181678878,$374.5B,,2019
,,1973,,$76.0M,,$374490.0B,76,Cassette,Value,1,1973,76,$374.5B,,1973
,,1974,,$87.2M,,$374490.0B,87.2,Cassette,Value,1,1974,87.2,$374.5B,,1974
,,1975,,$98.8M,,$374490.0B,98.8,Cassette,Value,1,1975,98.8,$374.5B,,1975
,,1976,,$145.7M,,$374490.0B,145.7,Cassette,Value,1,1976,145.7,$374.5B,,1976
,,1977,,$249.6M,,$374490.0B,249.6,Cassette,Value,1,1977,249.6,$374.5B,,1977
,,1978,,$449.8M,,$374490.0B,449.8,Cassette,Value,1,1978,449.8,$374.5B,,1978
,,1979,,$580.6M,,$374490.0B,580.6,Cassette,Value,1,1979,580.6,$374.5B,,1979
,,1980,,$705.0M,,$374490.0B,705,Cassette,Value,1,1980,705,$374.5B,,1980
,,1981,$1.1B,,,$374490.0B,1062.8,Cassette,Value,1,1981,1062.8,$374.5B,,1981
,,1982,$1.4B,,,$374490.0B,1384.5,Cassette,Value,1,1982,1384.5,$374.5B,,1982
,,1983,$1.8B,,,$374490.0B,1810.9,Cassette,Value,1,1983,1810.9,$374.5B,,1983
,,1984,$2.4B,,,$374490.0B,2383.9,Cassette,Value,1,1984,2383.9,$374.5B,,1984
,,1985,$2.4B,,,$374490.0B,2411.5,Cassette,Value,1,1985,2411.5,$374.5B,,1985
,,1986,$2.5B,,,$374490.0B,2499.5,Cassette,Value,1,1986,2499.5,$374.5B,,1986
,,1987,$3.0B,,,$374490.0B,2959.7,Cassette,Value,1,1987,2959.7,$374.5B,,1987
,,1988,$3.4B,,,$374490.0B,3385.1,Cassette,Value,1,1988,3385.1,$374.5B,,1988
,,1989,$3.3B,,,$374490.0B,3345.8,Cassette,Value,1,1989,3345.8,$374.5B,,1989
,,1990,$3.5B,,,$374490.0B,3472.4,Cassette,Value,1,1990,3472.4,$374.5B,,1990
,,1991,$3.0B,,,$374490.0B,3019.6,Cassette,Value,1,1991,3019.6,$374.5B,,1991
,,1992,$3.1B,,,$374490.0B,3116.3,Cassette,Value,1,1992,3116.3,$374.5B,,1992
,,1993,$2.9B,,,$374490.0B,2915.8,Cassette,Value,1,1993,2915.8,$374.5B,,1993
,,1994,$3.0B,,,$374490.0B,2976.4,Cassette,Value,1,1994,2976.4,$374.5B,,1994
,,1995,$2.3B,,,$374490.0B,2303.6,Cassette,Value,1,1995,2303.6,$374.5B,,1995
,,1996,$1.9B,,,$374490.0B,1905.3,Cassette,Value,1,1996,1905.3,$374.5B,,1996
,,1997,$1.5B,,,$374490.0B,1522.7,Cassette,Value,1,1997,1522.7,$374.5B,,1997
,,1998,$1.4B,,,$374490.0B,1419.9,Cassette,Value,1,1998,1419.9,$374.5B,,1998
,,1999,$1.1B,,,$374490.0B,1061.6,Cassette,Value,1,1999,1061.6,$374.5B,,1999
,,2000,,$626.0M,,$374490.0B,626,Cassette,Value,1,2000,626,$374.5B,,2000
,,2001,,$363.4M,,$374490.0B,363.4,Cassette,Value,1,2001,363.4,$374.5B,,2001
,,2002,,$209.8M,,$374490.0B,209.8,Cassette,Value,1,2002,209.8,$374.5B,,2002
,,2003,,$108.1M,,$374490.0B,108.1,Cassette,Value,1,2003,108.1,$374.5B,,2003
,,2004,,$23.7M,,$374490.0B,23.7,Cassette,Value,1,2004,23.7,$374.5B,,2004
,,2005,,$13.1M,,$374490.0B,13.1,Cassette,Value,1,2005,13.1,$374.5B,,2005
,,2006,,$3.7M,,$374490.0B,3.7,Cassette,Value,1,2006,3.7,$374.5B,,2006
,,2007,,$3.0M,,$374490.0B,3,Cassette,Value,1,2007,3,$374.5B,,2007
,,2008,,$0.9M,,$374490.0B,0.9,Cassette,Value,1,2008,0.9,$374.5B,,2008
,,2009,,$0.0,,$374490.0B,0,Cassette,Value,1,2009,0,$374.5B,,2009
,,1973,,$489.0M,,$374490.0B,489,8 - Track,Value,1,1973,489,$374.5B,,1973
,,1974,,$549.2M,,$374490.0B,549.2,8 - Track,Value,1,1974,549.2,$374.5B,,1974
,,1975,,$583.0M,,$374490.0B,583,8 - Track,Value,1,1975,583,$374.5B,,1975
,,1976,,$678.2M,,$374490.0B,678.2,8 - Track,Value,1,1976,678.2,$374.5B,,1976
,,1977,,$811.0M,,$374490.0B,811,8 - Track,Value,1,1977,811,$374.5B,,1977
,,1978,,$948.0M,,$374490.0B,948,8 - Track,Value,1,1978,948,$374.5B,,1978
,,1979,,$684.3M,,$374490.0B,684.3,8 - Track,Value,1,1979,684.3,$374.5B,,1979
,,1980,,$527.0M,,$374490.0B,527,8 - Track,Value,1,1980,527,$374.5B,,1980
,,1981,,$313.0M,,$374490.0B,313,8 - Track,Value,1,1981,313,$374.5B,,1981
,,1982,,$36.0M,,$374490.0B,36,8 - Track,Value,1,1982,36,$374.5B,,1982
,,1987,,$14.3M,,$374490.0B,14.3,Cassette Single,Value,1,1987,14.3,$374.5B,,1987
,,1988,,$57.3M,,$374490.0B,57.3,Cassette Single,Value,1,1988,57.3,$374.5B,,1988
,,1989,,$194.6M,,$374490.0B,194.6,Cassette Single,Value,1,1989,194.6,$374.5B,,1989
,,1990,,$257.9M,,$374490.0B,257.9,Cassette Single,Value,1,1990,257.9,$374.5B,,1990
,,1991,,$230.4M,,$374490.0B,230.4,Cassette Single,Value,1,1991,230.4,$374.5B,,1991
,,1992,,$298.8M,,$374490.0B,298.8,Cassette Single,Value,1,1992,298.8,$374.5B,,1992
,,1993,,$298.5M,,$374490.0B,298.5,Cassette Single,Value,1,1993,298.5,$374.5B,,1993
,,1994,,$274.9M,,$374490.0B,274.9,Cassette Single,Value,1,1994,274.9,$374.5B,,1994
,,1995,,$236.3M,,$374490.0B,236.3,Cassette Single,Value,1,1995,236.3,$374.5B,,1995
,,1996,,$189.3M,,$374490.0B,189.3,Cassette Single,Value,1,1996,189.3,$374.5B,,1996
,,1997,,$133.5M,,$374490.0B,133.5,Cassette Single,Value,1,1997,133.5,$374.5B,,1997
,,1998,,$94.4M,,$374490.0B,94.4,Cassette Single,Value,1,1998,94.4,$374.5B,,1998
,,1999,,$48.0M,,$374490.0B,48,Cassette Single,Value,1,1999,48,$374.5B,,1999
,,2000,,$4.6M,,$374490.0B,4.6,Cassette Single,Value,1,2000,4.6,$374.5B,,2000
,,2001,,$6.0M,,$374490.0B,6,DVD Audio,Value,1,2001,6,$374.5B,,2001
,,2002,,$8.5M,,$374490.0B,8.5,DVD Audio,Value,1,2002,8.5,$374.5B,,2002
,,2003,,$8.0M,,$374490.0B,8,DVD Audio,Value,1,2003,8,$374.5B,,2003
,,2004,,$6.5M,,$374490.0B,6.5,DVD Audio,Value,1,2004,6.5,$374.5B,,2004
,,2005,,$11.2M,,$374490.0B,11.2,DVD Audio,Value,1,2005,11.2,$374.5B,,2005
,,2006,,$2.4M,,$374490.0B,2.4,DVD Audio,Value,1,2006,2.4,$374.5B,,2006
,,2007,,$2.8M,,$374490.0B,2.8,DVD Audio,Value,1,2007,2.8,$374.5B,,2007
,,2008,,$1.2M,,$374490.0B,1.2,DVD Audio,Value,1,2008,1.2,$374.5B,,2008
,,2009,,$1.6M,,$374490.0B,1.6,DVD Audio,Value,1,2009,1.6,$374.5B,,2009
,,2010,,$0.9M,,$374490.0B,0.9,DVD Audio,Value,1,2010,0.9,$374.5B,,2010
,,2011,,$0.3M,,$374490.0B,0.3,DVD Audio,Value,1,2011,0.3,$374.5B,,2011
,,2012,,$0.2M,,$374490.0B,0.183106992,DVD Audio,Value,1,2012,0.183106992,$374.5B,,2012
,,2014,,$2.1M,,$374490.0B,2.139460944,DVD Audio,Value,1,2014,2.139460944,$374.5B,,2014
,,2015,,$5.4M,,$374490.0B,5.416232673,DVD Audio,Value,1,2015,5.416232673,$374.5B,,2015
,,2016,,$2.8M,,$374490.0B,2.835535870,DVD Audio,Value,1,2016,2.835535870,$374.5B,,2016
,,2017,,$2.6M,,$374490.0B,2.606840648,DVD Audio,Value,1,2017,2.606840648,$374.5B,,2017
,,2018,,$3.3M,,$374490.0B,3.317383752,DVD Audio,Value,1,2018,3.317383752,$374.5B,,2018
,,2019,,$1.1M,,$374490.0B,1.067303184,DVD Audio,Value,1,2019,1.067303184,$374.5B,,2019
,,2004,,$45.5M,,$374490.0B,45.5,Download Album,Value,1,2004,45.5,$374.5B,,2004
,,2005,,$135.7M,,$374490.0B,135.7,Download Album,Value,1,2005,135.7,$374.5B,,2005
,,2006,,$275.9M,,$374490.0B,275.9,Download Album,Value,1,2006,275.9,$374.5B,,2006
,,2007,,$497.4M,,$374490.0B,497.4,Download Album,Value,1,2007,497.4,$374.5B,,2007
,,2008,,$635.3M,,$374490.0B,635.3,Download Album,Value,1,2008,635.3,$374.5B,,2008
,,2009,,$744.3M,,$374490.0B,744.3,Download Album,Value,1,2009,744.3,$374.5B,,2009
,,2010,,$872.4M,,$374490.0B,872.4,Download Album,Value,1,2010,872.4,$374.5B,,2010
,,2011,$1.1B,,,$374490.0B,1070.8,Download Album,Value,1,2011,1070.8,$374.5B,,2011
,,2012,$1.2B,,,$374490.0B,1204.822242537,Download Album,Value,1,2012,1204.822242537,$374.5B,,2012
,,2013,$1.2B,,,$374490.0B,1232.139715617,Download Album,Value,1,2013,1232.139715617,$374.5B,,2013
,,2014,$1.1B,,,$374490.0B,1117.900008828,Download Album,Value,1,2014,1117.900008828,$374.5B,,2014
,,2015,$1.1B,,,$374490.0B,1064.433606664,Download Album,Value,1,2015,1064.433606664,$374.5B,,2015
,,2016,,$868.6M,,$374490.0B,868.594268350,Download Album,Value,1,2016,868.594268350,$374.5B,,2016
,,2017,,$668.5M,,$374490.0B,668.500705901,Download Album,Value,1,2017,668.500705901,$374.5B,,2017
,,2018,,$499.7M,,$374490.0B,499.650832420,Download Album,Value,1,2018,499.650832420,$374.5B,,2018
,,2019,,$394.5M,,$374490.0B,394.533006158,Download Album,Value,1,2019,394.533006158,$374.5B,,2019
,,2005,,$3.7M,,$374490.0B,3.7,Download Music Video,Value,1,2005,3.7,$374.5B,,2005
,,2006,,$19.7M,,$374490.0B,19.7,Download Music Video,Value,1,2006,19.7,$374.5B,,2006
,,2007,,$28.2M,,$374490.0B,28.2,Download Music Video,Value,1,2007,28.2,$374.5B,,2007
,,2008,,$41.3M,,$374490.0B,41.3,Download Music Video,Value,1,2008,41.3,$374.5B,,2008
,,2009,,$40.9M,,$374490.0B,40.9,Download Music Video,Value,1,2009,40.9,$374.5B,,2009
,,2010,,$36.6M,,$374490.0B,36.6,Download Music Video,Value,1,2010,36.6,$374.5B,,2010
,,2011,,$32.4M,,$374490.0B,32.4,Download Music Video,Value,1,2011,32.4,$374.5B,,2011
,,2012,,$20.8M,,$374490.0B,20.842242,Download Music Video,Value,1,2012,20.842242,$374.5B,,2012
,,2013,,$16.7M,,$374490.0B,16.740803,Download Music Video,Value,1,2013,16.740803,$374.5B,,2013
,,2014,,$13.6M,,$374490.0B,13.577058,Download Music Video,Value,1,2014,13.577058,$374.5B,,2014
,,2015,,$6.4M,,$374490.0B,6.414419,Download Music Video,Value,1,2015,6.414419,$374.5B,,2015
,,2016,,$4.3M,,$374490.0B,4.269400120,Download Music Video,Value,1,2016,4.269400120,$374.5B,,2016
,,2017,,$2.8M,,$374490.0B,2.785780489,Download Music Video,Value,1,2017,2.785780489,$374.5B,,2017
,,2018,,$2.2M,,$374490.0B,2.220810600,Download Music Video,Value,1,2018,2.220810600,$374.5B,,2018
,,2019,,$1.9M,,$374490.0B,1.858910402,Download Music Video,Value,1,2019,1.858910402,$374.5B,,2019
,,2004,,$138.0M,,$374490.0B,138,Download Single,Value,1,2004,138,$374.5B,,2004
,,2005,,$363.3M,,$374490.0B,363.3,Download Single,Value,1,2005,363.3,$374.5B,,2005
,,2006,,$580.6M,,$374490.0B,580.6,Download Single,Value,1,2006,580.6,$374.5B,,2006
,,2007,,$811.0M,,$374490.0B,811,Download Single,Value,1,2007,811,$374.5B,,2007
,,2008,$1.0B,,,$374490.0B,1032.2,Download Single,Value,1,2008,1032.2,$374.5B,,2008
,,2009,$1.2B,,,$374490.0B,1172,Download Single,Value,1,2009,1172,$374.5B,,2009
,,2010,$1.3B,,,$374490.0B,1336.4,Download Single,Value,1,2010,1336.4,$374.5B,,2010
,,2011,$1.5B,,,$374490.0B,1522.4,Download Single,Value,1,2011,1522.4,$374.5B,,2011
,,2012,$1.6B,,,$374490.0B,1644.570645308,Download Single,Value,1,2012,1644.570645308,$374.5B,,2012
,,2013,$1.6B,,,$374490.0B,1573.420534445,Download Single,Value,1,2013,1573.420534445,$374.5B,,2013
,,2014,$1.4B,,,$374490.0B,1355.331251323,Download Single,Value,1,2014,1355.331251323,$374.5B,,2014
,,2015,$1.2B,,,$374490.0B,1185.237594639,Download Single,Value,1,2015,1185.237594639,$374.5B,,2015
,,2016,,$900.2M,,$374490.0B,900.181481066,Download Single,Value,1,2016,900.181481066,$374.5B,,2016
,,2017,,$678.5M,,$374490.0B,678.524888322,Download Single,Value,1,2017,678.524888322,$374.5B,,2017
,,2018,,$490.4M,,$374490.0B,490.430488658,Download Single,Value,1,2018,490.430488658,$374.5B,,2018
,,2019,,$414.8M,,$374490.0B,414.804250982,Download Single,Value,1,2019,414.804250982,$374.5B,,2019
,,2005,,$1.0M,,$374490.0B,1,Kiosk,Value,1,2005,1,$374.5B,,2005
,,2006,,$1.9M,,$374490.0B,1.9,Kiosk,Value,1,2006,1.9,$374.5B,,2006
,,2007,,$2.6M,,$374490.0B,2.6,Kiosk,Value,1,2007,2.6,$374.5B,,2007
,,2008,,$2.6M,,$374490.0B,2.6,Kiosk,Value,1,2008,2.6,$374.5B,,2008
,,2009,,$6.3M,,$374490.0B,6.3,Kiosk,Value,1,2009,6.3,$374.5B,,2009
,,2010,,$6.4M,,$374490.0B,6.4,Kiosk,Value,1,2010,6.4,$374.5B,,2010
,,2011,,$2.7M,,$374490.0B,2.7,Kiosk,Value,1,2011,2.7,$374.5B,,2011
,,2012,,$3.7M,,$374490.0B,3.654065,Kiosk,Value,1,2012,3.654065,$374.5B,,2012
,,2013,,$6.2M,,$374490.0B,6.183604,Kiosk,Value,1,2013,6.183604,$374.5B,,2013
,,2014,,$2.6M,,$374490.0B,2.582636,Kiosk,Value,1,2014,2.582636,$374.5B,,2014
,,2015,,$3.7M,,$374490.0B,3.700455,Kiosk,Value,1,2015,3.700455,$374.5B,,2015
,,2016,,$2.9M,,$374490.0B,2.943916801,Kiosk,Value,1,2016,2.943916801,$374.5B,,2016
,,2017,,$2.3M,,$374490.0B,2.254743150,Kiosk,Value,1,2017,2.254743150,$374.5B,,2017
,,2018,,$2.0M,,$374490.0B,1.965045799,Kiosk,Value,1,2018,1.965045799,$374.5B,,2018
,,2019,,$1.6M,,$374490.0B,1.586470587,Kiosk,Value,1,2019,1.586470587,$374.5B,,2019
,,1973,$1.2B,,,$374490.0B,1246,LP/EP,Value,1,1973,1246,$374.5B,,1973
,,1974,$1.4B,,,$374490.0B,1356,LP/EP,Value,1,1974,1356,$374.5B,,1974
,,1975,$1.5B,,,$374490.0B,1485,LP/EP,Value,1,1975,1485,$374.5B,,1975
,,1976,$1.7B,,,$374490.0B,1663,LP/EP,Value,1,1976,1663,$374.5B,,1976
,,1977,$2.2B,,,$374490.0B,2195.1,LP/EP,Value,1,1977,2195.1,$374.5B,,1977
,,1978,$2.5B,,,$374490.0B,2473.3,LP/EP,Value,1,1978,2473.3,$374.5B,,1978
,,1979,$2.1B,,,$374490.0B,2057,LP/EP,Value,1,1979,2057,$374.5B,,1979
,,1980,$2.2B,,,$374490.0B,2200,LP/EP,Value,1,1980,2200,$374.5B,,1980
,,1981,$2.3B,,,$374490.0B,2341.7,LP/EP,Value,1,1981,2341.7,$374.5B,,1981
,,1982,$1.9B,,,$374490.0B,1925.1,LP/EP,Value,1,1982,1925.1,$374.5B,,1982
,,1983,$1.7B,,,$374490.0B,1689,LP/EP,Value,1,1983,1689,$374.5B,,1983
,,1984,$1.5B,,,$374490.0B,1548.8,LP/EP,Value,1,1984,1548.8,$374.5B,,1984
,,1985,$1.3B,,,$374490.0B,1280.5,LP/EP,Value,1,1985,1280.5,$374.5B,,1985
,,1986,,$983.0M,,$374490.0B,983,LP/EP,Value,1,1986,983,$374.5B,,1986
,,1987,,$793.1M,,$374490.0B,793.1,LP/EP,Value,1,1987,793.1,$374.5B,,1987
,,1988,,$532.2M,,$374490.0B,532.2,LP/EP,Value,1,1988,532.2,$374.5B,,1988
,,1989,,$220.3M,,$374490.0B,220.3,LP/EP,Value,1,1989,220.3,$374.5B,,1989
,,1990,,$86.5M,,$374490.0B,86.5,LP/EP,Value,1,1990,86.5,$374.5B,,1990
,,1991,,$29.4M,,$374490.0B,29.4,LP/EP,Value,1,1991,29.4,$374.5B,,1991
,,1992,,$13.5M,,$374490.0B,13.5,LP/EP,Value,1,1992,13.5,$374.5B,,1992
,,1993,,$10.6M,,$374490.0B,10.6,LP/EP,Value,1,1993,10.6,$374.5B,,1993
,,1994,,$17.8M,,$374490.0B,17.8,LP/EP,Value,1,1994,17.8,$374.5B,,1994
,,1995,,$25.1M,,$374490.0B,25.1,LP/EP,Value,1,1995,25.1,$374.5B,,1995
,,1996,,$36.8M,,$374490.0B,36.8,LP/EP,Value,1,1996,36.8,$374.5B,,1996
,,1997,,$33.3M,,$374490.0B,33.3,LP/EP,Value,1,1997,33.3,$374.5B,,1997
,,1998,,$34.0M,,$374490.0B,34,LP/EP,Value,1,1998,34,$374.5B,,1998
,,1999,,$31.8M,,$374490.0B,31.8,LP/EP,Value,1,1999,31.8,$374.5B,,1999
,,2000,,$27.7M,,$374490.0B,27.7,LP/EP,Value,1,2000,27.7,$374.5B,,2000
,,2001,,$27.4M,,$374490.0B,27.4,LP/EP,Value,1,2001,27.4,$374.5B,,2001
,,2002,,$20.5M,,$374490.0B,20.5,LP/EP,Value,1,2002,20.5,$374.5B,,2002
,,2003,,$21.7M,,$374490.0B,21.7,LP/EP,Value,1,2003,21.7,$374.5B,,2003
,,2004,,$19.3M,,$374490.0B,19.3,LP/EP,Value,1,2004,19.3,$374.5B,,2004
,,2005,,$14.2M,,$374490.0B,14.2,LP/EP,Value,1,2005,14.2,$374.5B,,2005
,,2006,,$15.7M,,$374490.0B,15.7,LP/EP,Value,1,2006,15.7,$374.5B,,2006
,,2007,,$22.9M,,$374490.0B,22.9,LP/EP,Value,1,2007,22.9,$374.5B,,2007
,,2008,,$56.7M,,$374490.0B,56.7,LP/EP,Value,1,2008,56.7,$374.5B,,2008
,,2009,,$63.8M,,$374490.0B,63.8,LP/EP,Value,1,2009,63.8,$374.5B,,2009
,,2010,,$88.9M,,$374490.0B,88.9,LP/EP,Value,1,2010,88.9,$374.5B,,2010
,,2011,,$119.4M,,$374490.0B,119.4,LP/EP,Value,1,2011,119.4,$374.5B,,2011
,,2012,,$160.7M,,$374490.0B,160.723058291,LP/EP,Value,1,2012,160.723058291,$374.5B,,2012
,,2013,,$210.7M,,$374490.0B,210.739051034,LP/EP,Value,1,2013,210.739051034,$374.5B,,2013
,,2014,,$243.8M,,$374490.0B,243.846848340,LP/EP,Value,1,2014,243.846848340,$374.5B,,2014
,,2015,,$333.4M,,$374490.0B,333.379793112,LP/EP,Value,1,2015,333.379793112,$374.5B,,2015
,,2016,,$355.4M,,$374490.0B,355.430890954,LP/EP,Value,1,2016,355.430890954,$374.5B,,2016
,,2017,,$388.5M,,$374490.0B,388.511108168,LP/EP,Value,1,2017,388.511108168,$374.5B,,2017
,,2018,,$419.2M,,$374490.0B,419.223946961,LP/EP,Value,1,2018,419.223946961,$374.5B,,2018
,,2019,,$497.6M,,$374490.0B,497.588920842,LP/EP,Value,1,2019,497.588920842,$374.5B,,2019
,,2016,,$263.4M,,$374490.0B,263.363685193,Limited Tier Paid Subscription,Value,1,2016,263.363685193,$374.5B,,2016
,,2017,,$591.6M,,$374490.0B,591.601097499,Limited Tier Paid Subscription,Value,1,2017,591.601097499,$374.5B,,2017
,,2018,,$747.1M,,$374490.0B,747.054906158,Limited Tier Paid Subscription,Value,1,2018,747.054906158,$374.5B,,2018
,,2019,,$829.5M,,$374490.0B,829.498739675,Limited Tier Paid Subscription,Value,1,2019,829.498739675,$374.5B,,2019
,,1989,,$115.4M,,$374490.0B,115.4,Music Video (Physical),Value,1,1989,115.4,$374.5B,,1989
